issue_id,activity_id,state,title,labels,updated_at,url,tasks_total,tasks_done
3276143400,GGI-A-37,open,Open source enabling digital transformation,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:26:32+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/25,0,0
3276143273,GGI-A-36,open,Open source enabling innovation,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:26:29+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/24,0,0
3276143164,GGI-A-35,open,Open source and digital sovereignty,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:26:27+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/23,0,0
3276143055,GGI-A-34,open,C-Level awareness,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:26:25+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/22,0,0
3276142934,GGI-A-16,open,Setup a strategy for corporate open source governance,"Decision Maker,Not Selected,Strategy Goal",2025-07-30 08:26:22+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/21,0,0
3276142841,GGI-A-43,open,Open source procurement policy,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:26:20+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/20,0,0
3276142744,GGI-A-33,open,Engage with open source vendors,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:26:18+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/19,0,0
3276142628,GGI-A-31,open,Publicly assert use of open source,"Team Leader,Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:26:15+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/18,0,0
3276142514,GGI-A-30,open,Support open source communities,"Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:26:13+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/17,0,0
3276142418,GGI-A-29,open,Engage with open source projects,"Developer,Decision Maker,Not Selected,Engagement Goal",2025-07-30 08:26:11+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/16,0,0
3276142314,GGI-A-39,open,Upstream first,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:26:08+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/15,0,0
3276142203,GGI-A-28,open,HR perspective,"Decision Maker,Not Selected,Culture Goal",2025-07-30 08:26:06+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/14,0,0
3276142091,GGI-A-27,open,Belong to the open source community,"Team Leader,Decision Maker,Not Selected,Culture Goal",2025-07-30 08:26:04+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/13,0,0
3276141998,GGI-A-26,open,Contribute to open source projects,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:26:01+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/12,0,0
3276141895,GGI-A-25,open,Promote open source development best practices,"Developer,Team Leader,Not Selected,Culture Goal",2025-07-30 08:25:59+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/11,0,0
3276141775,GGI-A-44,open,Run code reviews,"Developer,Team Leader,Not Selected,Trust Goal",2025-07-30 08:25:57+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/10,0,0
3276141659,GGI-A-24,open,Manage key indicators,"Team Leader,Decision Maker,Not Selected,Trust Goal",2025-07-30 08:25:54+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/9,0,0
3276141555,GGI-A-23,open,Manage software dependencies,"Developer,Team Leader,Not Selected,Trust Goal",2025-07-30 08:25:52+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/8,0,0
3276141452,GGI-A-22,open,Manage software vulnerabilities,"Team Leader,Not Selected,Trust Goal",2025-07-30 08:25:49+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/7,0,0
3276141363,GGI-A-21,open,Manage legal compliance,"Decision Maker,Not Selected,Trust Goal",2025-07-30 08:25:47+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/6,0,0
3276141258,GGI-A-42,open,Manage open source skills and resources,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:25:45+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/5,0,0
3276141140,GGI-A-20,open,Open source enterprise software,"Decision Maker,Not Selected,Usage Goal",2025-07-30 08:25:42+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/4,0,0
3276141022,GGI-A-19,open,Open source supervision,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:25:40+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/3,0,0
3276140937,GGI-A-18,open,Open source competency growth,"Team Leader,Not Selected,Usage Goal",2025-07-30 08:25:37+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/2,0,0
3276140846,GGI-A-17,open,Inventory of open source skills and resources,"Developer,Team Leader,Not Selected,Usage Goal",2025-07-30 08:25:35+00:00,https://api.github.com/repos/borisbaldassari/my-ggi-board/issues/1,0,0
