issue_id,title,state,participants,comments,updates,created_at,closed_at,updated_at
45,BOK generation script forgets 1st section unless doc starts with a white line,closed,2,1,1,2021-10-25T07:22:30.011Z,2021-10-25T13:55:42.781Z,2021-10-25T13:55:42.784Z
44,(Trust Goal) Run code reviews,opened,6,5,15,2021-09-25T13:25:21.332Z,,2022-08-04T13:54:11.129Z
43,(Engagement Goal) Open source procurement policy,opened,4,2,15,2021-09-09T13:31:38.263Z,,2022-08-04T13:54:15.090Z
42,(Usage Goal) Manage open source software development skills and resources,opened,5,4,35,2021-07-16T09:33:17.560Z,,2022-08-04T13:54:09.056Z
41,Please add me to the Members list :-),closed,2,6,8,2021-04-07T16:34:29.749Z,2021-04-15T09:48:00.371Z,2021-04-28T06:12:08.401Z
40,(Trust Goal) Run open-source reviews,closed,6,9,23,2021-03-22T18:28:37.192Z,2021-09-28T15:31:00.349Z,2021-09-28T15:31:00.352Z
39,(Culture Goal) Upstream first,opened,5,2,15,2021-03-02T17:54:09.024Z,,2022-08-04T13:54:13.273Z
38,test,closed,1,0,0,2021-02-23T16:57:57.408Z,2021-02-23T16:58:44.643Z,2021-04-28T06:14:13.708Z
37,(Strategy Goal) Open source enabling digital transformation,opened,7,8,27,2021-02-19T15:45:15.756Z,,2022-08-04T13:54:17.017Z
36,(Strategy Goal) Open source enabling innovation,opened,8,9,24,2021-02-19T15:44:36.270Z,,2022-08-04T13:54:16.717Z
35,(Strategy Goal) Open source and digital sovereignty,opened,6,0,15,2021-02-19T15:43:30.669Z,,2022-08-04T13:54:16.184Z
34,(Strategy Goal) C-Level awareness,opened,5,1,30,2021-02-19T15:42:33.216Z,,2022-08-04T13:54:16.037Z
33,(Engagement Goal) Engage with open source vendors,opened,4,0,17,2021-02-19T15:40:41.892Z,,2022-08-04T13:54:14.960Z
32,(Engagement Goal) Publicly asserting use of open source,closed,2,1,2,2021-02-19T15:37:58.769Z,2021-03-30T16:08:19.391Z,2021-09-08T10:50:29.277Z
31,(Engagement Goal) Publicly assert use of open source,opened,5,4,19,2021-02-19T15:26:23.440Z,,2022-08-04T13:54:14.529Z
30,(Engagement Goal) Support open source communities,opened,6,1,19,2021-02-19T15:24:32.789Z,,2022-08-04T13:54:14.221Z
29,(Engagement Goal) Engage with open source projects,opened,7,7,31,2021-02-19T15:17:00.339Z,,2022-08-04T13:54:13.852Z
28,(Culture Goal) HR perspective,opened,7,8,39,2021-02-19T15:13:25.909Z,,2022-08-04T13:54:09.114Z
27,(Culture Goal) Belong to the open source community,opened,6,3,18,2021-02-19T15:09:47.405Z,,2022-08-04T13:54:12.411Z
26,(Culture Goal) Contribute to open source projects,opened,4,0,25,2021-02-19T15:03:49.524Z,,2022-08-04T13:54:12.260Z
25,(Culture Goal) Promote open source development best practices,opened,6,2,35,2021-02-19T14:55:32.964Z,,2022-08-04T13:54:11.823Z
24,(Trust Goal) Manage key indicators,opened,7,14,32,2021-02-19T14:51:39.856Z,,2022-08-04T13:54:10.785Z
23,(Trust Goal) Manage software dependencies,opened,10,13,56,2021-02-19T14:45:33.489Z,,2022-08-04T13:54:10.297Z
22,(Trust Goal) Manage software vulnerabilities,opened,9,13,45,2021-02-19T14:42:30.195Z,,2022-08-04T13:54:09.877Z
21,(Trust Goal) Manage legal compliance,opened,20,15,49,2021-02-19T14:36:31.018Z,,2022-08-04T13:54:09.450Z
20,(Usage Goal) Open source enterprise software,opened,4,0,13,2021-02-19T14:17:18.597Z,,2022-08-04T13:54:08.741Z
19,(Usage Goal) Open source supervision,opened,9,12,43,2021-02-19T13:47:07.228Z,,2022-08-04T13:54:08.367Z
18,(Usage Goal) Open source competency growth,opened,6,12,48,2021-02-19T12:57:33.208Z,,2022-08-04T13:54:08.010Z
17,(Usage Goal) Inventory of open source skills and resources,opened,7,10,45,2021-02-19T12:08:31.259Z,,2022-08-04T13:54:07.321Z
16,(Strategy Goal) Setup a strategy for corporate open source governance,opened,8,9,31,2021-02-09T09:38:38.385Z,,2022-08-04T13:54:15.524Z
14,Implement reuse.software best practices,closed,2,2,8,2020-12-28T18:42:13.768Z,2021-03-30T16:20:11.809Z,2021-04-28T06:13:45.491Z
13,(Trust Goal) Setup a legal/IP team contact,closed,2,3,8,2020-12-28T18:42:13.551Z,2021-03-30T17:08:29.328Z,2021-04-28T06:12:19.272Z
12,Promote external contributions,closed,1,1,2,2020-12-28T18:42:13.405Z,2021-03-30T16:15:00.689Z,2021-04-28T06:13:53.088Z
11,Promote OSS outside of the company,closed,2,4,4,2020-12-28T18:42:13.266Z,2021-03-30T16:41:42.543Z,2021-04-28T06:13:11.676Z
10,Promote OSS within the company,closed,2,1,2,2020-12-28T18:42:13.120Z,2021-03-30T16:47:56.910Z,2021-04-28T06:13:05.869Z
9,Fund participation to events,closed,2,1,2,2020-12-28T18:42:12.944Z,2021-03-30T16:20:41.102Z,2021-04-28T06:13:38.735Z
8,Fund external OSS projects,closed,3,10,11,2020-12-28T18:42:12.802Z,2021-03-30T16:41:36.040Z,2021-04-28T06:13:22.628Z
7,Setup OSS Basics training,closed,2,1,2,2020-12-28T18:42:12.658Z,2021-03-30T16:37:39.782Z,2021-04-28T06:13:31.467Z
6,Identify dependencies,closed,2,5,6,2020-12-28T18:42:12.482Z,2021-03-04T16:46:13.777Z,2021-04-28T06:14:04.314Z
5,Setup a legal/IP corporate contact,closed,2,1,3,2020-12-28T18:42:12.306Z,2021-03-30T17:00:12.215Z,2021-04-28T06:12:52.988Z
4,Setup a dedicated Legal/IP team,closed,2,3,5,2020-12-28T18:42:12.161Z,2021-03-30T17:00:29.180Z,2021-04-28T06:12:42.771Z
3,Community Documents,closed,1,1,1,2020-12-28T18:42:11.915Z,2021-03-30T16:52:22.880Z,2021-04-28T06:13:01.069Z
2,Setup a Licence checking process,closed,2,1,3,2020-12-28T18:42:11.807Z,2021-07-13T10:26:57.068Z,2021-07-13T10:26:57.071Z
1,Setup a SCA tool,closed,4,2,8,2020-12-28T18:42:11.673Z,2021-07-13T10:26:27.256Z,2021-07-13T10:26:27.262Z
